id,text,label,language,original
387030572779847680,non-essential services shutdown? can someone explain to me how URL is essential while URL is not?,FALSE,English,non-essential services shutdown? can someone explain to me how URL is essential while URL is not?
692142338890661888,"न्यूयॉर्क के पूर्व दिग्गज सेफ्टी टायलर सैश, जिनकी 27 वर्ष की उम्र में मृत्यु हो गई, को अपक्षयी मस्तिष्क रोग सी.टी.ई. पाया गया। - हर बार यूआरएल",non-rumor,Hindi,"ex-new york giants safety tyler sash, who died at 27, found to have degenerative brain disease c.t.e. - ny times URL"
640182854928961536,plastic bag use in wales has dropped by 71 per cent since the 5p charge was introduced URL URL,unverified,English,plastic bag use in wales has dropped by 71 per cent since the 5p charge was introduced URL URL
407184730988097536,"मैं पॉल वॉकर के प्रियजनों और प्रशंसकों के प्रति संवेदना व्यक्त करता हूं, जिनकी शनिवार को एक कार दुर्घटना में मृत्यु हो गई। शब्द यह है कि वह वास्तव में एक अच्छा व्यक्ति था। #आरआईपी पॉल वॉकर",TRUE,Hindi,"my heart goes out to loved ones and fans of paul walker, who died in a car wreck saturday. word is he was a really good dude. #rippaulwalker"
525711899359318016,सीडीसी व्हिसलब्लोअर ने आरएफआईडी चिप्स युक्त इबोला टीकाकरण का खुलासा किया | @wpusta के माध्यम से राष्ट्रीय रिपोर्ट यूआरएल,FALSE,Hindi,cdc whistleblower exposes ebola vaccinations containing rfid chips | national report URL via @wpusta
427944719612915712,मार्लबोरो के पूर्व व्यक्ति की धूम्रपान संबंधी बीमारी से मौत यूआरएल,TRUE,Hindi,ex-marlboro man dies from smoking-related disease URL
683731779342188545,oregon militiamen receive fitting nickname: #yallqaeda URL URL,non-rumor,English,oregon militiamen receive fitting nickname: #yallqaeda URL URL
531648145613398016,making my own doritos flavored mountain dew! URL,TRUE,English,making my own doritos flavored mountain dew! URL
499456140044824576,st. louis co police tell me ofcr shot a man who pointed handgun at him at chambers & sheffingdell at about 1 a.m. man in critical. #ferguson,unverified,English,st. louis co police tell me ofcr shot a man who pointed handgun at him at chambers & sheffingdell at about 1 a.m. man in critical. #ferguson
560163341524807680,टेक्सास में इस्लामिक ट्रिब्यूनल शरिया कानून के तहत काम कर रहा है♨️@db10524 @lodisilverado @amymek #tcot URL URL,FALSE,Hindi,islamic tribunal in texas operating under sharia law♨️@db10524 @lodisilverado @amymek #tcot URL URL
693032076543655936,#जीका वायरस: आपको यूआरएल फैलाने वाले मच्छर के बारे में जानने की जरूरत है,non-rumor,Hindi,#zika virus: everything you need to know about the mosquito that spreads it URL URL
692134022839955456,man at salad bar has to say every item aloud as he adds it to salad URL URL,non-rumor,English,man at salad bar has to say every item aloud as he adds it to salad URL URL
745236050407194624,the big one: 'large scale motion' detected along san andreas fault URL URL,unverified,English,the big one: 'large scale motion' detected along san andreas fault URL URL
528607634099015680,#animaloftheday：60 多年来第一只阿富汗尖牙鹿出现！网址 网址,TRUE,Chinese,#animaloftheday: the first afghan fanged deer was seen in more than 60 years! URL URL
552810448324943872,"#charliehebdo shooting: gunmen shouted 'we have avenged the prophet"" during attack - reports URL URL",unverified,English,"#charliehebdo shooting: gunmen shouted 'we have avenged the prophet"" during attack - reports URL URL"
748640007934590976,号码是什么？ 1 杀害美国人的凶手？这些排名多年来变化不大 URL URL,unverified,Chinese,what's the no. 1 killer of americans? these rankings have changed little over the years URL URL
489874311143260160,.@vp biden: malaysia airlines #mh17 was 'shot down not an accident. blown out of the sky.' URL,FALSE,English,.@vp biden: malaysia airlines #mh17 was 'shot down not an accident. blown out of the sky.' URL
547158281005719552,subaru gets snowbound police back on patrol. #dontletwinterwin URL,FALSE,English,subaru gets snowbound police back on patrol. #dontletwinterwin URL
407189015582887936,rip roger rodas the man who died with paul walker in the fatal car crash #dontforgethim URL,TRUE,English,rip roger rodas the man who died with paul walker in the fatal car crash #dontforgethim URL
524937542131793920,我们已全面封锁，直至渥太华警方进一步通知。,unverified,Chinese,we are in full lock down until further notice from ottawa police.
692818857187213313,lego reveals new young disabled figure after #toylikeme campaign URL URL,non-rumor,English,lego reveals new young disabled figure after #toylikeme campaign URL URL
522815405451407360,"a passenger at an african airport? no, the man in a homemade hazmat suit is flying out of dulles, washington: #ebola URL",unverified,English,"a passenger at an african airport? no, the man in a homemade hazmat suit is flying out of dulles, washington: #ebola URL"
500288349924782080,क्या किसी ने सड़क पर लेटे हुए #माइकब्राउन द्वारा पहने गए कपड़ों की तुलना सुरक्षा फुटेज से करने के बारे में सोचा? #फर्ग्यूसन,unverified,Hindi,did anyone think of comparing the clothes that #mikebrown was wearing when he was laying on the street to the security footage? #ferguson
532255606623989760,#dointoomuch rt @dahndahlas：@jemelehill 一位福来鸡经理在他的位置禁止使用俚语。网址 网址,FALSE,Chinese,#dointoomuch rt @dahndahlas: @jemelehill a chick-fil-a manager banned slang at his location. URL URL
693481256735150082,"up to 100 masked men, dressed in black, involved in ""migrant attack"" in stockholm URL URL",non-rumor,English,"up to 100 masked men, dressed in black, involved in ""migrant attack"" in stockholm URL URL"
544333764814323713,枪手的头带上写着：“穆罕默德，我们是你的士兵”。 #martinplace #sydneysiege 网址,unverified,Chinese,"gunman's headband reads, ""we are your soldiers o muhammad"". #martinplace #sydneysiege URL"
723365789378584578,#राजकुमार के सम्मान में दुनिया भर के स्थल बैंगनी हो गए। #प्रिंसरिप #पर्पलरेन यूआरएल,unverified,Hindi,"landmarks around world turn purple, in honor of #prince. #princerip #purplerain URL"
537006518118273025,"that powerful, 40-year-old letter from lego to parents? it's real URL URL",TRUE,English,"that powerful, 40-year-old letter from lego to parents? it's real URL URL"
727187859367546880,अच्छी खबर!: लक्ष्य स्टॉक में गिरावट #lbgtq #bathroombill URL #tcot #pjnet #rednationrising URL,unverified,Hindi,good news!: target stock plummets #lbgtq #bathroombill URL #tcot #pjnet #rednationrising URL
693916809125351425,अध्ययन: कार्यस्थल पर 90% चोटें बेअर-नक्कल बॉक्सिंग यूआरएल यूआरएल के कारण होती हैं,non-rumor,Hindi,study: 90% of workplace injuries caused by bare-knuckle boxing URL URL
764573523713011713,我们制定了首个限制发电厂碳污染排放量的国家标准 —@potus: URL,non-rumor,Chinese,we've set the first-ever national standards limiting the amount of carbon pollution power plants can emit —@potus: URL
531131094276382720,报道称，#ISIS 领导人阿布·贝克尔·巴格达迪在美国空袭中受伤。 #叙利亚#伊拉克,unverified,Chinese,reports indicate #isis leader abu bakr al-baghdadi has been injured in a us air strike. #syria #iraq
521772674155286528,令人震惊的伊斯兰国在 #kobane ☛ URL #savekobane #drwidad☮ URL 中对库尔德人使用化学武器,unverified,Chinese,alarming isis uses chemical weapons against kurds in #kobane ☛ URL #savekobane #drwidad☮ URL
692537942439501824,खगोलविदों का कहना है कि उन्होंने आकाशगंगा के सबसे बड़े सौर मंडल के अस्तित्व की पुष्टि की है। यूआरएल,non-rumor,Hindi,astronomers say they have confirmed the existence of the galaxy's largest solar system. URL
693140568143220736,जैक व्हाइट और एवेट ब्रदर्स ने #सनडांस में छह-भाग वाले संगीत दस्तावेज़ का प्रीमियर किया। हमारी रिपोर्ट यूआरएल यूआरएल,non-rumor,Hindi,jack white and avett brothers premiered a six-part music doc at #sundance. our report URL URL
356407105953071107,就在……@barackobama 和司法部对 #georgezimmerman 提出联邦指控,FALSE,Chinese,just in... @barackobama & department of justice file federal charges against #georgezimmerman
767668607803359234,our quote of the day is from american writer dorothy parker URL,non-rumor,English,our quote of the day is from american writer dorothy parker URL
510916647373516800,a video has been released by isis apparently showing the murder of british hostage david haines: URL,TRUE,English,a video has been released by isis apparently showing the murder of british hostage david haines: URL
524961721744900097,在#ottawa战争纪念馆被枪杀的加拿大士兵是一名预备役军人，在安省#hamilton的阿盖尔和萨瑟兰高地人服役。,TRUE,Chinese,"canadian soldier who was shot at #ottawa's war memorial is a reservist serving with the argyll and sutherland highlanders in #hamilton, ont."
531606992788287489,五角大楼官员对伊拉克声称伊斯兰国家领导人受伤的说法持怀疑态度 URL #isis URL,unverified,Chinese,pentagon officials skeptical over iraqi claims of wounded islamic state leader URL #isis URL
692127290998784001,迪士尼世界为家庭崩溃开辟新的磨难王国 URL URL,non-rumor,Chinese,disney world opens new ordeal kingdom for family meltdowns URL URL
531526274003771392,2 名伊拉克官员和国家电视台表示，伊斯兰国家组织领导人巴格达迪因空袭受伤 - @ap URL,unverified,Chinese,2 iraqi officials and state tv say airstrike wounds islamic state group leader al-baghdadi - @ap URL
518192429153783808,नास्तिक @कैरीअंडरवुड पर पागल हैं। मैं उसकी सराहना करता हूं. यूआरएल,FALSE,Hindi,atheists are mad at @carrieunderwood. i applaud her. URL
652349108653551616,秘密吃肉的素食者数量惊人 URL URL,unverified,Chinese,surprising number of vegetarians secretly eat meat URL URL
427762638274437120,在广告中扮演万宝路男人的演员死于与吸烟有关的疾病 URL,TRUE,Chinese,actor who played marlboro man in ads dies from smoking-related disease URL
767170849472405508,"olympics: us women win 6th straight 4x400m-relay gold, giving allyson felix 6 career golds. URL URL",non-rumor,English,"olympics: us women win 6th straight 4x400m-relay gold, giving allyson felix 6 career golds. URL URL"
538129041539092480,"और @abc, कृपया यह कहते हुए ट्वीट करें कि आपने साक्षात्कार के लिए डैरेन विल्सन को किसी भी तरह से भुगतान या मुआवजा नहीं दिया है। हम इंतज़ार कर रहे हैं. #फर्ग्यूसन",FALSE,Hindi,"and @abc, please tweet saying that you did not pay or compensate darren wilson for the interview in any way. we're waiting. #ferguson"
365497016098369536,water leaks at fukushima could contaminate entire pacific ocean URL,FALSE,English,water leaks at fukushima could contaminate entire pacific ocean URL
690954487322796032,"fact: for the first time ever, more than 90% of americans have health coverage. #acaworks URL",non-rumor,English,"fact: for the first time ever, more than 90% of americans have health coverage. #acaworks URL"
521790189715615744,stop believing what you see on facebook. rt @lilduval: so ebola was found in hair extensions? all my bitches wear weave 😳,FALSE,English,stop believing what you see on facebook. rt @lilduval: so ebola was found in hair extensions? all my bitches wear weave 😳
532851585408593920,迪士尼正在制作他们的第一部以两位相爱的同性恋王子为主角的电影，太棒了。,FALSE,Chinese,"disney are making their first movie to feature two gay princes who fall in love, amazing."
387010299536355328,作为一名前联邦特工，我觉得这个故事令人难以置信，即使对于白宫来说也是如此。网址#spitehouse,FALSE,Chinese,"as a former federal agent i find this story hard to believe, even for this white house. URL #spitehouse"
723511860516016128,सभी बैंगनी रंग में: दुनिया भर में स्मारक और स्थल #राजकुमार की मृत्यु के बाद उनका सम्मान करते हैं। यूआरएल यूआरएल,unverified,Hindi,all in purple: memorials and landmarks across the globe honor #prince after his death. URL URL
407163499723624449,पॉल वॉकर की अपने संगठन रीच आउट वर्ल्डवाइड यूआरएल के लिए एक चैरिटी कार्यक्रम में भाग लेने के तुरंत बाद मृत्यु हो गई,TRUE,Hindi,paul walker died shortly after attending a charity event for his organization reach out worldwide URL
273278761909239808,有记录以来最血腥的黑色星期五周末造成 4200 万人死亡 URL,FALSE,Chinese,42 million dead in bloodiest black friday weekend on record URL
519704006826807296,史蒂芬·柯林斯 - 自杀报告后警察蜂拥而至......虚假警报 URL,FALSE,Chinese,stephen collins -- cops swarm home after suicide report ... false alarm URL
528562608463704064,"fanged deer pops up in afghanistan, 60 years after its last appearance URL URL",TRUE,English,"fanged deer pops up in afghanistan, 60 years after its last appearance URL URL"
514098833253748736,突发事件：高级执法消息人士告诉 NBC 新闻，3 名失踪的阿富汗士兵被发现试图越境进入加拿大,TRUE,Chinese,"breaking: 3 missing afghan soldiers have been found trying to cross the border into canada, senior law enforcement source tells nbc news"
407197113286545409,paul walker's character name on fast and furious was brian. brian from family guy died in a car accident. coincidence? i think not,TRUE,English,paul walker's character name on fast and furious was brian. brian from family guy died in a car accident. coincidence? i think not
693501482721681408,1996 年的这一天，魔术师约翰逊在艾滋病毒检测呈阳性四年多后重返 NBA。网址,non-rumor,Chinese,"on this date in 1996, magic johnson returned to the nba more than four years after testing positive for hiv. URL"
407290871856369664,"r.i.p paul walker, why are people making jokes about his death? not funny at all!",TRUE,English,"r.i.p paul walker, why are people making jokes about his death? not funny at all!"
509031495101874176,突发新闻：杜蕾斯尚未推出南瓜香料避孕套 URL URL,FALSE,Chinese,breaking news: durex has not come out with a pumpkin spice condom URL URL
376982539132366848,j.k.罗琳正在创作第八本《哈利·波特》书籍。,FALSE,Chinese,j.k. rowling is working on an 8th harry potter book.
693125234317086720,@zaynmalik 的 #pillowtalk 首播将于晚上 8:15 在 mtv 上播出。在那里 🔥 URL URL,non-rumor,Chinese,the on air broadcast premiere of @zaynmalik's #pillowtalk is on mtv at 8:15p. be there 🔥 URL URL
520630231531802624,#मेक्सिको: 43 लापता छात्रों के भाग्य पर संदेह बढ़ गया है क्योंकि सामूहिक कब्र यूआरएल में और अधिक शव मिले हैं,FALSE,Hindi,#mexico: doubts grow over the fate of 43 missing students as more bodies found in a mass grave URL URL
551120768164462592,बेवर्ली हिलबिलीज़ की स्टार डोना डगलस का 81 यूआरएल यूआरएल पर निधन हो गया है,TRUE,Hindi,"donna douglas, star of the beverly hillbillies, has passed away at 81 URL URL"
517487705978966016,d.a.在#moore、#oklahoma 斩首案中寻求死刑。 #altonnolen #kellyfile 网址,TRUE,Chinese,"d.a. to seek death in #moore, #oklahoma beheading case. #altonnolen #kellyfile URL"
692491478619262976,"#स्वीडन के आंतरिक मंत्री का कहना है कि देश उन 80,000 प्रवासियों को निष्कासित करने का इरादा रखता है जिनके शरण के आवेदन खारिज कर दिए गए हैं",non-rumor,Hindi,"#sweden's interior minister says the country intends to expel up to 80,000 migrants whose applications for asylum have been rejected"
504109775358287872,@antoniofrench ने #michaelbrown/URL के नए शूटिंग ऑडियो का आरोप लगाया,TRUE,Hindi,@antoniofrench alleged new shooting audio of #michaelbrown / URL
524976980799000578,突发新闻：渥太华警方向美国广播公司新闻证实，他们正在寻找 3 名嫌疑人，其中一名已被“处理​​” - URL,TRUE,Chinese,"breaking news: ottawa police confirm to abc news they are looking for 3 suspects, one has been 'dealt with' - URL"
692046121250586624,पवन और सौर अमेरिका के अधिकांश हिस्से को ऊर्जा प्रदान कर सकते हैं 2030 तक बिजली की कीमतें बढ़ाए बिना यूआरएल यूआरएल,non-rumor,Hindi,wind and solar could power most of the u.s. by 2030 without raising electricity prices URL URL
691380138710306816,pentagon holds gala to celebrate 25 years of bombing iraq URL URL,non-rumor,English,pentagon holds gala to celebrate 25 years of bombing iraq URL URL
553103772852191233,每个人都分享的图片不是班克斯的——但它很棒。 #charliehebdo 网址 网址,FALSE,Chinese,the image that everyone is sharing isn't by banksy — but it's awesome. #charliehebdo URL URL
521717368264093696,क्रिस्टन स्टीवर्ट: वास्तविकता: यूआरएल विक्षिप्त दक्षिणपंथी कल्पना: यूआरएल,FALSE,Hindi,kristen stewart: reality: URL demented right-wing fantasy: URL
516394449065496577,"हांगकांग के प्रदर्शनकारी फर्ग्यूसन यूआरएल से ""हाथ ऊपर करो, गोली मत मारो"" इशारे का उपयोग कर रहे हैं",unverified,Hindi,"hong kong's protesters are using the ""hands up, don't shoot"" gesture from ferguson URL"
693618217667928068,"ठीक उसी समय जब हमने सोचा कि हम स्टीव कैरेल को और अधिक प्यार नहीं कर सकते, उन्होंने कैरल बर्नेट को #sagawards स्टेज तक लाने में मदद की। ❤ यूआरएल",non-rumor,Hindi,"just when we thought we couldn't love steve carell more, he helps carol burnett up to the #sagawards stage. ❤ URL"
500294803402137600,photos of alleged robbery involving michael brown in #ferguson (via police) URL URL,unverified,English,photos of alleged robbery involving michael brown in #ferguson (via police) URL URL
780882510645370880,चेल्सी क्लिंटन का तात्पर्य यहां यह है कि मारिजुआना आपको मार सकता है। उह यूआरएल,unverified,Hindi,chelsea clinton implies here that marijuana can kill you. uhh URL
537976883150077952,母亲的复仇：儿子被枪杀后，阿富汗妇女“杀死了 25 名#塔利班武装分子” URL URL,unverified,Chinese,mother’s revenge: afghan woman 'kills 25 #taliban militants' after son shot dead URL URL
693490132440129536,调查发现，棒球运动员在德克萨斯州高中有“搏击俱乐部”：URL URL,non-rumor,Chinese,"baseball players had ""fight club"" at texas high school, investigation finds: URL URL"
693121477491757056,典型全职工作的女性与典型男性每挣 1 美元的收入仍然是 79 美分。 —@potus 网址,non-rumor,Chinese,the typical woman who works full-time still earns 79 cents for every dollar the typical man does. —@potus URL
693492349142433792,日本首架隐形战斗机亮相 URL URL,non-rumor,Chinese,japan's first stealth fighter unveiled URL URL
532259028152246272,据报道，chick-fil-a经理禁止了一系列不专业的词语，网络爆发：URL URL,FALSE,Chinese,"chick-fil-a manager reportedly bans list of unprofessional words, internet erupts: URL URL"
652982112870662144,surprising number of vegetarians secretly eat meat URL URL,unverified,English,surprising number of vegetarians secretly eat meat URL URL
509464217549021184,报告：微软试图收购《我的世界》URL 的创建者 Mojang,TRUE,Chinese,"report: microsoft trying to buy mojang, creators of minecraft URL"
689650617464311813,leonardo dicaprio is giving away $15 million to environmental causes: URL URL,non-rumor,English,leonardo dicaprio is giving away $15 million to environmental causes: URL URL
407231740764508161,"पॉल वॉकर के साथ जिस ड्राइवर की मृत्यु हो गई, उसकी किसी को परवाह नहीं थी, क्योंकि वह प्रसिद्ध नहीं था।",TRUE,Hindi,r.i.p to the driver who died with paul walker that no one cares about because he wasn't famous.
523943647449198592,now he's a one-handed scientist rt @cbsnews: puppy-sized spider surprises scientist in rainforest URL,TRUE,English,now he's a one-handed scientist rt @cbsnews: puppy-sized spider surprises scientist in rainforest URL
693899062098137088,"अधिकारियों का कहना है कि नाइजीरिया के घरेलू इस्लामी चरमपंथियों, बोको हराम यूआरएल के नवीनतम हमले में कम से कम 86 लोग मारे गए",non-rumor,Hindi,"officials say at least 86 people died in the latest attack by nigeria's homegrown islamic extremists, boko haram URL"
766789709045518336,"डोनाल्ड ट्रम्प लुइसियाना बाढ़ स्थल पर गए, प्ले-डोह सौंपने में एक मिनट बिताया, URL #whereshillary छोड़ दिया",unverified,Hindi,"donald trump goes to louisiana flooding site, spends a minute handing out play-doh, leaves URL #whereshillary"
519962130859429888,打击伊斯兰国的斗争从我们的边境开始。 “至少”有 10 名伊斯兰国在穿越墨西哥边境时被捕。垒墙！,FALSE,Chinese,the fight against isis starts at our border. ‘at least’ 10 isis have been caught crossing the mexico border. build a wall!
692267960686284800,french justice minister quits in apparent protest at plan to strip citizenship from people convicted of terrorism URL,non-rumor,English,french justice minister quits in apparent protest at plan to strip citizenship from people convicted of terrorism URL
490141776984825856,u.s intel: missile that hit #mh17 was most likely fired by pro-russian separatists. details: URL URL,FALSE,English,u.s intel: missile that hit #mh17 was most likely fired by pro-russian separatists. details: URL URL
715255507506892800,更新：唐纳德·特朗普主张禁止堕胎并对堕胎的妇女进行“某种形式的惩罚”。网址 - @msnbc,FALSE,Chinese,"update: donald trump advocates abortion ban and ""some form of punishment"" for women who have an abortion. URL - @msnbc"
351767344097398785,"""सुरक्षा"" प्रदान करने के लिए हमारे आयोजनों में रूसी सेनाओं को देखने की अपेक्षा करना - पॉज़ कॉमिटेटस के तहत यह अवैध है! यूआरएल",FALSE,Hindi,expect to see russian forces at us events to provide “security” - this is illegal under posse comitatus! URL
553579224402235393,"hostage-taker at paris store demands release of #kouachibrothers, police union spokesman says. URL URL",unverified,English,"hostage-taker at paris store demands release of #kouachibrothers, police union spokesman says. URL URL"
517051126466625536,"colleen hufford was a white woman, hardly worth a mention from pres. obama (unlike #ferguson) URL URL",TRUE,English,"colleen hufford was a white woman, hardly worth a mention from pres. obama (unlike #ferguson) URL URL"
538256153080127489,"this young woman was shot with a nerf bullet by a #ferguson police officer, she lost her eye. #humanrights #nyc #rt URL",TRUE,English,"this young woman was shot with a nerf bullet by a #ferguson police officer, she lost her eye. #humanrights #nyc #rt URL"
489887806018183168,मलेशिया एयरलाइंस के कार्यकारी ने यात्रियों की राष्ट्रीयताओं की आंशिक सूची जारी की: यूआरएल URL #mh17,FALSE,Hindi,malaysia airlines executive releases partial list of passengers' nationalities: URL URL #mh17
521533372280369152,警察蜂拥而至 #7thheaven 明星斯蒂芬·柯林斯自杀报告后的家 URL URL,FALSE,Chinese,cops swarm #7thheaven star stephen collins' home after suicide report URL URL
500290456845299714,here's the police report. somehow #ferguson cops valued a box of swishers at nearly $50. time to stop smokin i guess URL,unverified,English,here's the police report. somehow #ferguson cops valued a box of swishers at nearly $50. time to stop smokin i guess URL
693662456393134080,唐纳德·特朗普 (Donald Trump) 是至少自 1992 年以来最不受欢迎的总统候选人 URL,non-rumor,Chinese,donald trump is the least favorably viewed presidential candidate since at least 1992 URL
504106473467944960,#cnn 上播放的这盘录音带似乎证实了目击者的说法，即 #darrenwilson 在 #michaelbrown 试图投降后继续开枪,TRUE,Chinese,this audio tape played on #cnn seems to corroborate witness accounts that #darrenwilson kept shooting after #michaelbrown tried to surrender
521777301470871553,#isis used chemical weapons in #kobani . against civilian #kurds• #retweeet to #savekobani _ #twitterkurds #kobane URL,unverified,English,#isis used chemical weapons in #kobani . against civilian #kurds• #retweeet to #savekobani _ #twitterkurds #kobane URL
509084603617792001,don't worry ppl #isis isn't a threat to homeland. man wearing body armor with isis flag on it arrested in #texas URL,FALSE,English,don't worry ppl #isis isn't a threat to homeland. man wearing body armor with isis flag on it arrested in #texas URL
436157173161144321,"talking angela gets ur personal info ""he's a kidnapper"" ""he watches u through ur camera"" URL",FALSE,English,"talking angela gets ur personal info ""he's a kidnapper"" ""he watches u through ur camera"" URL"
531193369465470976,突发事件：联军空袭摩苏尔附近后，伊斯兰国领导人巴格达迪“受重伤” URL URL,unverified,Chinese,breaking: isis leader al-baghdadi “critically wounded” after coalition airstrikes near mosul URL URL
524923293711998976,ओटावा में युद्ध स्मारक पर। एक सिपाही को गोली मार दी गई है. वे अब उसका इलाज कर रहे हैं। #ब्रेकिंग यूआरएल,TRUE,Hindi,at the war memorial in. ottawa. a soldier has been shot. they are giving him treatment now. #breaking URL
562313802369073153,"वार्षिक सिम्युलेटेड 'मैडेन' गेम ने कई सटीक #sb49 भविष्यवाणियां कीं, जिनमें अंतिम स्कोर: यूआरएल यूआरएल भी शामिल है",TRUE,Hindi,"annual simulated 'madden' game made several accurate #sb49 predictions, including final score: URL URL"
524929497205055488,加拿大议会山因警方追捕枪击嫌疑人而被封锁；至少 1 人受伤 - @cbcnews、@torontostar URL,unverified,Chinese,"canada's parliament hill is on lockdown as police hunt shooting suspect; at least 1 injured - @cbcnews, @torontostar URL"
509463933564891137,"huh. the wall street journal reports microsoft is close to a $2b deal with mojang, aka the creators of minecraft. URL",TRUE,English,"huh. the wall street journal reports microsoft is close to a $2b deal with mojang, aka the creators of minecraft. URL"
366205297557110784,"विवरण: #फुकुशिमा के नीचे से रेडियोधर्मी पानी सुरक्षात्मक बाधा से 60 सेमी ऊपर उठ गया है, जो स्वतंत्र रूप से महासागर यूआरएल में लीक हो रहा है",FALSE,Hindi,"details: radioactive water from under #fukushima has risen 60cm above protective barrier, freely leaking to ocean URL"
525411618231169025,照片：加拿大预备役军人在国家战争纪念馆被杀的狗等待他回家 URL URL,TRUE,Chinese,photo: dogs of canadian reservist killed at national war memorial wait for him to return home URL URL
531287426858487808,感觉很好的故事：美国空袭“击中伊斯兰国领导人”。恐怖组织头目“受重伤” URL URL,unverified,Chinese,feel good story: u.s. airstrikes 'hit isis leader'. terror group chief 'critically wounded' URL URL
692747901815119872,"cdc: 31 cases of zika virus in 11 us states; all patients had traveled, 19 were to puerto rico - @blythebernhard URL",non-rumor,English,"cdc: 31 cases of zika virus in 11 us states; all patients had traveled, 19 were to puerto rico - @blythebernhard URL"
767068504277344260,प्रतिष्ठित छवि में सीरियाई लड़के के बड़े भाई की परिवार के घर पर हवाई हमले से चोटों के कारण मृत्यु हो गई। यूआरएल यूआरएल,non-rumor,Hindi,older brother of syrian boy in iconic image dies of injuries from airstrike on family home. URL URL
767154835993063425,"奥运会：马修·森特罗维茨 (matthew centrowitz) 赢得男子 1,500 米比赛，这是我们自 1908 年以来在该赛事中获得的第一枚金牌。 URL URL",non-rumor,Chinese,"olympics: matthew centrowitz wins men's 1,500m race, first gold for us in event since 1908. URL URL"
